Sat Jul 11 15:06:41 2020 Epoch 53, lr: 0.0010000, train loss: 3.78414, val loss: 3.78414
Sat Jul 11 15:07:31 2020 Epoch 54, lr: 0.0010000, train loss: 4.08615, val loss: 4.08615
Sat Jul 11 15:08:19 2020 Epoch 55, lr: 0.0010000, train loss: 3.82369, val loss: 3.82369
Sat Jul 11 15:09:21 2020 Epoch 56, lr: 0.0010000, train loss: 3.47954, val loss: 3.47954
Sat Jul 11 15:10:10 2020 Epoch 57, lr: 0.0010000, train loss: 3.77836, val loss: 3.77836
Sat Jul 11 15:11:12 2020 Epoch 58, lr: 0.0010000, train loss: 3.28667, val loss: 3.28667
Sat Jul 11 15:12:15 2020 Epoch 59, lr: 0.0010000, train loss: 3.16965, val loss: 3.16965
Sat Jul 11 15:13:18 2020 Epoch 60, lr: 0.0010000, train loss: 2.67398, val loss: 2.67398
Sat Jul 11 15:14:07 2020 Epoch 61, lr: 0.0010000, train loss: 2.90873, val loss: 2.90873
Sat Jul 11 15:14:56 2020 Epoch 62, lr: 0.0010000, train loss: 2.74496, val loss: 2.74496
Sat Jul 11 15:15:58 2020 Epoch 63, lr: 0.0010000, train loss: 2.53077, val loss: 2.53077
Sat Jul 11 15:17:01 2020 Epoch 64, lr: 0.0010000, train loss: 2.12600, val loss: 2.12600
Sat Jul 11 15:18:03 2020 Epoch 65, lr: 0.0010000, train loss: 1.82143, val loss: 1.82143
Sat Jul 11 15:19:06 2020 Epoch 66, lr: 0.0010000, train loss: 1.76148, val loss: 1.76148
Sat Jul 11 15:19:55 2020 Epoch 67, lr: 0.0010000, train loss: 1.85202, val loss: 1.85202
Sat Jul 11 15:20:57 2020 Epoch 68, lr: 0.0010000, train loss: 1.64234, val loss: 1.64234
Sat Jul 11 15:22:00 2020 Epoch 69, lr: 0.0010000, train loss: 1.36537, val loss: 1.36537
Sat Jul 11 15:23:03 2020 Epoch 70, lr: 0.0010000, train loss: 1.22529, val loss: 1.22529
Sat Jul 11 15:24:06 2020 Epoch 71, lr: 0.0010000, train loss: 1.19883, val loss: 1.19883
Sat Jul 11 15:24:55 2020 Epoch 72, lr: 0.0010000, train loss: 1.23191, val loss: 1.23191
Sat Jul 11 15:25:43 2020 Epoch 73, lr: 0.0010000, train loss: 1.62350, val loss: 1.62350
Sat Jul 11 15:26:32 2020 Epoch 74, lr: 0.0010000, train loss: 1.85831, val loss: 1.85831
Sat Jul 11 15:27:21 2020 Epoch 75, lr: 0.0010000, train loss: 2.06927, val loss: 2.06927
Sat Jul 11 15:28:10 2020 Epoch 76, lr: 0.0010000, train loss: 1.66203, val loss: 1.66203
Sat Jul 11 15:28:58 2020 Epoch 77, lr: 0.0010000, train loss: 2.04211, val loss: 2.04211
Sat Jul 11 15:29:47 2020 Epoch 78, lr: 0.0010000, train loss: 1.60938, val loss: 1.60938
