Sat Jul 11 08:42:45 2020 Epoch 0, lr: 0.0010000, train loss: 17.27386, val loss: 25.01321
Sat Jul 11 08:44:20 2020 Epoch 0, lr: 0.0010000, train loss: 16.93785, val loss: 16.93785
Sat Jul 11 08:44:51 2020 Epoch 1, lr: 0.0010000, train loss: 11.53817, val loss: 11.53817
Sat Jul 11 08:45:22 2020 Epoch 2, lr: 0.0010000, train loss: 9.85369, val loss: 9.85369
Sat Jul 11 08:45:53 2020 Epoch 3, lr: 0.0010000, train loss: 9.40528, val loss: 9.40528
Sat Jul 11 08:46:25 2020 Epoch 4, lr: 0.0010000, train loss: 9.20748, val loss: 9.20748
Sat Jul 11 08:46:56 2020 Epoch 5, lr: 0.0010000, train loss: 8.79650, val loss: 8.79650
Sat Jul 11 08:47:27 2020 Epoch 6, lr: 0.0010000, train loss: 8.68154, val loss: 8.68154
Sat Jul 11 08:47:58 2020 Epoch 7, lr: 0.0010000, train loss: 8.48422, val loss: 8.48422
Sat Jul 11 08:48:29 2020 Epoch 8, lr: 0.0010000, train loss: 8.31722, val loss: 8.31722
Sat Jul 11 08:49:01 2020 Epoch 9, lr: 0.0010000, train loss: 8.12028, val loss: 8.12028
Sat Jul 11 08:49:32 2020 Epoch 10, lr: 0.0010000, train loss: 8.03102, val loss: 8.03102
Sat Jul 11 08:50:03 2020 Epoch 11, lr: 0.0010000, train loss: 7.75724, val loss: 7.75724
Sat Jul 11 08:50:34 2020 Epoch 12, lr: 0.0010000, train loss: 7.71628, val loss: 7.71628
Sat Jul 11 08:51:05 2020 Epoch 13, lr: 0.0010000, train loss: 7.54067, val loss: 7.54067
Sat Jul 11 08:51:37 2020 Epoch 14, lr: 0.0010000, train loss: 7.33812, val loss: 7.33812
Sat Jul 11 08:52:08 2020 Epoch 15, lr: 0.0010000, train loss: 7.27805, val loss: 7.27805
Sat Jul 11 08:52:39 2020 Epoch 16, lr: 0.0010000, train loss: 7.23154, val loss: 7.23154
Sat Jul 11 08:53:10 2020 Epoch 17, lr: 0.0010000, train loss: 7.15408, val loss: 7.15408
Sat Jul 11 08:53:41 2020 Epoch 18, lr: 0.0010000, train loss: 6.94647, val loss: 6.94647
Sat Jul 11 08:54:12 2020 Epoch 19, lr: 0.0010000, train loss: 6.87543, val loss: 6.87543
Sat Jul 11 08:54:44 2020 Epoch 20, lr: 0.0010000, train loss: 6.59585, val loss: 6.59585
Sat Jul 11 08:55:15 2020 Epoch 21, lr: 0.0010000, train loss: 6.51178, val loss: 6.51178
Sat Jul 11 08:55:46 2020 Epoch 22, lr: 0.0010000, train loss: 6.50210, val loss: 6.50210
Sat Jul 11 08:55:56 2020 Epoch 23, lr: 0.0010000, train loss: 6.63639, val loss: 6.63639
Sat Jul 11 08:56:06 2020 Epoch 24, lr: 0.0010000, train loss: 6.55387, val loss: 6.55387
Sat Jul 11 08:56:38 2020 Epoch 25, lr: 0.0010000, train loss: 6.40107, val loss: 6.40107
Sat Jul 11 08:56:47 2020 Epoch 26, lr: 0.0010000, train loss: 6.50862, val loss: 6.50862
Sat Jul 11 08:56:57 2020 Epoch 27, lr: 0.0010000, train loss: 6.41685, val loss: 6.41685
Sat Jul 11 08:57:29 2020 Epoch 28, lr: 0.0010000, train loss: 6.34119, val loss: 6.34119
Sat Jul 11 08:58:00 2020 Epoch 29, lr: 0.0010000, train loss: 6.11053, val loss: 6.11053
Sat Jul 11 08:58:31 2020 Epoch 30, lr: 0.0010000, train loss: 5.95389, val loss: 5.95389
Sat Jul 11 08:59:02 2020 Epoch 31, lr: 0.0010000, train loss: 5.87371, val loss: 5.87371
Sat Jul 11 08:59:12 2020 Epoch 32, lr: 0.0010000, train loss: 6.06405, val loss: 6.06405
Sat Jul 11 08:59:22 2020 Epoch 33, lr: 0.0010000, train loss: 5.96300, val loss: 5.96300
Sat Jul 11 08:59:32 2020 Epoch 34, lr: 0.0010000, train loss: 5.92274, val loss: 5.92274
Sat Jul 11 09:00:03 2020 Epoch 35, lr: 0.0010000, train loss: 5.73858, val loss: 5.73858
Sat Jul 11 09:00:34 2020 Epoch 36, lr: 0.0010000, train loss: 5.55250, val loss: 5.55250
Sat Jul 11 09:01:05 2020 Epoch 37, lr: 0.0010000, train loss: 5.38156, val loss: 5.38156
Sat Jul 11 09:01:36 2020 Epoch 38, lr: 0.0010000, train loss: 5.19272, val loss: 5.19272
Sat Jul 11 09:01:46 2020 Epoch 39, lr: 0.0010000, train loss: 5.27897, val loss: 5.27897
Sat Jul 11 09:04:58 2020 Epoch 40, lr: 0.0010000, train loss: 5.37980, val loss: 5.37980
Sat Jul 11 09:05:08 2020 Epoch 41, lr: 0.0010000, train loss: 5.94957, val loss: 5.94957
Sat Jul 11 09:05:18 2020 Epoch 42, lr: 0.0010000, train loss: 5.75364, val loss: 5.75364
Sat Jul 11 09:05:28 2020 Epoch 43, lr: 0.0010000, train loss: 5.54738, val loss: 5.54738
Sat Jul 11 09:05:38 2020 Epoch 44, lr: 0.0010000, train loss: 5.31169, val loss: 5.31169
Sat Jul 11 09:05:48 2020 Epoch 45, lr: 0.0010000, train loss: 5.28010, val loss: 5.28010
Sat Jul 11 09:06:19 2020 Epoch 46, lr: 0.0010000, train loss: 4.91186, val loss: 4.91186
Sat Jul 11 09:06:49 2020 Epoch 47, lr: 0.0010000, train loss: 4.87563, val loss: 4.87563
Sat Jul 11 09:07:21 2020 Epoch 48, lr: 0.0010000, train loss: 4.77559, val loss: 4.77559
Sat Jul 11 09:07:31 2020 Epoch 49, lr: 0.0010000, train loss: 4.94948, val loss: 4.94948
Sat Jul 11 09:07:41 2020 Epoch 50, lr: 0.0010000, train loss: 4.86864, val loss: 4.86864
Sat Jul 11 09:08:12 2020 Epoch 51, lr: 0.0010000, train loss: 4.75306, val loss: 4.75306
Sat Jul 11 09:08:22 2020 Epoch 52, lr: 0.0010000, train loss: 4.87803, val loss: 4.87803
Sat Jul 11 09:08:32 2020 Epoch 53, lr: 0.0010000, train loss: 4.76802, val loss: 4.76802
Sat Jul 11 09:08:42 2020 Epoch 54, lr: 0.0010000, train loss: 4.82184, val loss: 4.82184
Sat Jul 11 09:09:13 2020 Epoch 55, lr: 0.0010000, train loss: 4.48202, val loss: 4.48202
Sat Jul 11 09:09:44 2020 Epoch 56, lr: 0.0010000, train loss: 4.44940, val loss: 4.44940
Sat Jul 11 09:10:15 2020 Epoch 57, lr: 0.0010000, train loss: 4.02584, val loss: 4.02584
Sat Jul 11 09:10:47 2020 Epoch 58, lr: 0.0010000, train loss: 3.83582, val loss: 3.83582
Sat Jul 11 09:10:57 2020 Epoch 59, lr: 0.0010000, train loss: 3.92142, val loss: 3.92142
Sat Jul 11 09:11:07 2020 Epoch 60, lr: 0.0010000, train loss: 3.95665, val loss: 3.95665
Sat Jul 11 09:11:17 2020 Epoch 61, lr: 0.0010000, train loss: 3.87148, val loss: 3.87148
Sat Jul 11 09:11:48 2020 Epoch 62, lr: 0.0010000, train loss: 3.44675, val loss: 3.44675
Sat Jul 11 09:12:19 2020 Epoch 63, lr: 0.0010000, train loss: 3.14257, val loss: 3.14257
Sat Jul 11 09:12:29 2020 Epoch 64, lr: 0.0010000, train loss: 3.19653, val loss: 3.19653
Sat Jul 11 09:13:00 2020 Epoch 65, lr: 0.0010000, train loss: 2.87094, val loss: 2.87094
Sat Jul 11 09:13:31 2020 Epoch 66, lr: 0.0010000, train loss: 2.74680, val loss: 2.74680
Sat Jul 11 09:13:41 2020 Epoch 67, lr: 0.0010000, train loss: 3.04118, val loss: 3.04118
Sat Jul 11 09:14:13 2020 Epoch 68, lr: 0.0010000, train loss: 2.73915, val loss: 2.73915
Sat Jul 11 09:14:23 2020 Epoch 69, lr: 0.0010000, train loss: 2.99582, val loss: 2.99582
Sat Jul 11 09:14:33 2020 Epoch 70, lr: 0.0010000, train loss: 2.79020, val loss: 2.79020
Sat Jul 11 09:15:04 2020 Epoch 71, lr: 0.0010000, train loss: 2.44036, val loss: 2.44036
Sat Jul 11 09:15:35 2020 Epoch 72, lr: 0.0010000, train loss: 2.03481, val loss: 2.03481
Sat Jul 11 09:15:45 2020 Epoch 73, lr: 0.0010000, train loss: 2.17518, val loss: 2.17518
Sat Jul 11 09:15:55 2020 Epoch 74, lr: 0.0010000, train loss: 2.30474, val loss: 2.30474
